HMDBID,Name,Biospecimen,Subject_age,Concentration_average,Concentration_units
HMDB0008597,"PC(22:2(13Z,16Z)/18:1(9Z))",Urine,Adult,3.50E-04,umol/mmol creatinine
HMDB0008598,"PC(22:2(13Z,16Z)/18:2(9Z,12Z))",Blood,Adult,3.655,uM
HMDB0008598,"PC(22:2(13Z,16Z)/18:2(9Z,12Z))",Blood,Infant,3,uM
HMDB0008598,"PC(22:2(13Z,16Z)/18:2(9Z,12Z))",Blood,Newborn,2.59,uM
HMDB0008598,"PC(22:2(13Z,16Z)/18:2(9Z,12Z))",Feces,Adult,0.045,nmol/g wet feces
HMDB0008599,"PC(22:2(13Z,16Z)/18:3(6Z,9Z,12Z))",Blood,Adult,13.85,uM
HMDB0008599,"PC(22:2(13Z,16Z)/18:3(6Z,9Z,12Z))",Feces,Adult,0.005,nmol/g wet feces
HMDB0008600,"PC(22:2(13Z,16Z)/18:3(9Z,12Z,15Z))",Blood,Adult,13.85,uM
HMDB0008600,"PC(22:2(13Z,16Z)/18:3(9Z,12Z,15Z))",Feces,Adult,0.005,nmol/g wet feces
HMDB0008601,"PC(22:2(13Z,16Z)/18:4(6Z,9Z,12Z,15Z))",Blood,Adult,31.94,uM
HMDB0008601,"PC(22:2(13Z,16Z)/18:4(6Z,9Z,12Z,15Z))",Blood,Infant,17.4,uM
HMDB0008601,"PC(22:2(13Z,16Z)/18:4(6Z,9Z,12Z,15Z))",Blood,Newborn,22.6,uM
HMDB0008601,"PC(22:2(13Z,16Z)/18:4(6Z,9Z,12Z,15Z))",Feces,Adult,0.42,nmol/g wet feces
HMDB0008601,"PC(22:2(13Z,16Z)/18:4(6Z,9Z,12Z,15Z))",Urine,Adolescent,5.8,umol/mmol creatinine
HMDB0008601,"PC(22:2(13Z,16Z)/18:4(6Z,9Z,12Z,15Z))",Urine,Newborn,0.01,umol/mmol creatinine
HMDB0008602,"PC(22:2(13Z,16Z)/20:0)",Blood,Adult,0.25,uM
HMDB0008602,"PC(22:2(13Z,16Z)/20:0)",Blood,Infant,0.2,uM
HMDB0008602,"PC(22:2(13Z,16Z)/20:0)",Blood,Newborn,0.19,uM
HMDB0008602,"PC(22:2(13Z,16Z)/20:0)",Feces,Adult,0.1,nmol/g wet feces
HMDB0008602,"PC(22:2(13Z,16Z)/20:0)",Saliva,Adult,0.035,uM
HMDB0008602,"PC(22:2(13Z,16Z)/20:0)",Urine,Adult,9.00E-04,umol/mmol creatinine
