HMDBID,Name,Biospecimen,Subject_age,Concentration_average,Concentration_units
HMDB0009034,"PE(18:1(11Z)/20:3(5Z,8Z,11Z))",Blood,Adult,0.29,uM
HMDB0009036,"PE(18:1(11Z)/20:4(5Z,8Z,11Z,14Z))",Blood,Adult,1.98,uM
HMDB0009089,"PE(18:2(9Z,12Z)/16:1(9Z))",Blood,Adult,0.33,uM
HMDB0009093,"PE(18:2(9Z,12Z)/18:2(9Z,12Z))",Blood,Adult,0.23,uM
HMDB0009779,PI(16:0/16:1(9Z)),Blood,Adult,0.748,uM
HMDB0009781,PI(16:0/18:0),Blood,Adult,0.4715,uM
HMDB0009782,PI(16:0/18:1(11Z)),Blood,Adult,1.78,uM
HMDB0009783,PI(16:0/18:1(9Z)),Blood,Adult,1.78,uM
HMDB0009784,"PI(16:0/18:2(9Z,12Z))",Blood,Adult,2.64,uM
HMDB0009785,PI(16:0/20:0),Blood,Adult,0.269,uM
HMDB0009786,"PI(16:0/20:2(11Z,14Z))",Blood,Adult,4.29,uM
HMDB0009787,"PI(16:0/20:3(5Z,8Z,11Z))",Blood,Adult,1.17,uM
HMDB0009788,"PI(16:0/20:3(8Z,11Z,14Z))",Blood,Adult,1.17,uM
HMDB0009789,"PI(16:0/20:4(5Z,8Z,11Z,14Z))",Blood,Adult,1.27,uM
HMDB0009790,"PI(16:0/20:4(8Z,11Z,14Z,17Z))",Blood,Adult,1.27,uM
HMDB0009791,"PI(16:0/22:2(13Z,16Z))",Blood,Adult,0.189,uM
HMDB0009792,"PI(16:0/22:3(10Z,13Z,16Z))",Blood,Adult,1.83,uM
HMDB0009793,"PI(16:0/22:4(10Z,13Z,16Z,19Z))",Blood,Adult,11,uM
HMDB0009794,"PI(16:0/22:4(7Z,10Z,13Z,16Z))",Blood,Adult,11,uM
HMDB0009795,"PI(16:0/22:5(4Z,7Z,10Z,13Z,16Z))",Blood,Adult,1.28,uM
HMDB0009796,"PI(16:0/22:5(7Z,10Z,13Z,16Z,19Z))",Blood,Adult,1.28,uM
HMDB0009797,PI(16:1(9Z)/16:0),Blood,Adult,0.746,uM
HMDB0009799,PI(16:1(9Z)/18:0),Blood,Adult,1.78,uM
HMDB0009800,PI(16:1(9Z)/18:1(11Z)),Blood,Adult,2.64,uM
HMDB0009801,PI(16:1(9Z)/18:1(9Z)),Blood,Adult,2.64,uM
HMDB0009803,"PI(16:2(9Z,12Z)/18:0)",Blood,Adult,2.64,uM
HMDB0009804,"PI(16:2(9Z,12Z)/22:3(10Z,13Z,16Z))",Blood,Adult,1.28,uM
HMDB0009805,PI(18:0/16:0),Blood,Adult,0.473,uM
HMDB0009806,PI(18:0/16:1(9Z)),Blood,Adult,1.78,uM
HMDB0009807,"PI(18:0/16:2(9Z,12Z))",Blood,Adult,2.64,uM
HMDB0009808,PI(18:0/18:0),Blood,Adult,0.2695,uM
HMDB0009809,"PI(18:0/18:2(9Z,12Z))",Blood,Adult,4.29,uM
HMDB0009810,"PI(18:0/18:3(6Z,9Z,12Z))",Blood,Adult,1.17,uM
HMDB0009811,"PI(18:0/18:3(9Z,12Z,15Z))",Blood,Adult,1.17,uM
HMDB0009812,"PI(18:0/20:2(11Z,14Z))",Blood,Adult,0.189,uM
HMDB0009813,"PI(18:0/20:3(5Z,8Z,11Z))",Blood,Adult,1.83,uM
HMDB0009814,"PI(18:0/20:3(8Z,11Z,14Z))",Blood,Adult,1.83,uM
HMDB0009815,"PI(18:0/20:4(5Z,8Z,11Z,14Z))",Blood,Adult,11,uM
HMDB0009816,"PI(18:0/20:4(8Z,11Z,14Z,17Z))",Blood,Adult,11,uM
HMDB0009817,"PI(18:0/22:4(10Z,13Z,16Z,19Z))",Blood,Adult,0.4505,uM
HMDB0009818,"PI(18:0/22:4(7Z,10Z,13Z,16Z))",Blood,Adult,0.451,uM
HMDB0009819,"PI(18:0/22:5(4Z,7Z,10Z,13Z,16Z))",Blood,Adult,0.4775,uM
HMDB0009820,"PI(18:0/22:5(7Z,10Z,13Z,16Z,19Z))",Blood,Adult,0.475,uM
HMDB0009821,"PI(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",Blood,Adult,0.54,uM
HMDB0009822,PI(18:1(11Z)/16:0),Blood,Adult,1.78,uM
HMDB0009823,PI(18:1(11Z)/16:1(9Z)),Blood,Adult,2.64,uM
HMDB0009824,PI(18:1(11Z)/18:1(11Z)),Blood,Adult,4.29,uM
HMDB0009825,PI(18:1(11Z)/18:1(9Z)),Blood,Adult,4.29,uM
HMDB0009826,"PI(18:1(11Z)/18:2(9Z,12Z))",Blood,Adult,1.17,uM
HMDB0009827,"PI(18:1(11Z)/18:3(6Z,9Z,12Z))",Blood,Adult,1.27,uM
HMDB0009828,"PI(18:1(11Z)/18:3(9Z,12Z,15Z))",Blood,Adult,1.27,uM
HMDB0009829,PI(18:1(11Z)/20:1(11Z)),Blood,Adult,0.189,uM
HMDB0009830,"PI(18:1(11Z)/20:3(5Z,8Z,11Z))",Blood,Adult,11,uM
HMDB0009831,"PI(18:1(11Z)/20:3(8Z,11Z,14Z))",Blood,Adult,11,uM
HMDB0009832,"PI(18:1(11Z)/20:4(5Z,8Z,11Z,14Z))",Blood,Adult,1.28,uM
HMDB0009833,"PI(18:1(11Z)/20:4(8Z,11Z,14Z,17Z))",Blood,Adult,1.28,uM
HMDB0009834,PI(18:1(9Z)/16:0),Blood,Adult,1.78,uM
HMDB0009835,PI(18:1(9Z)/16:1(9Z)),Blood,Adult,2.64,uM
HMDB0009836,PI(18:1(9Z)/18:1(11Z)),Blood,Adult,4.29,uM
HMDB0009837,PI(18:1(9Z)/18:1(9Z)),Blood,Adult,4.29,uM
HMDB0009838,"PI(18:1(9Z)/18:2(9Z,12Z))",Blood,Adult,1.17,uM
HMDB0009839,"PI(18:1(9Z)/18:3(6Z,9Z,12Z))",Blood,Adult,1.27,uM
HMDB0009840,"PI(18:1(9Z)/18:3(9Z,12Z,15Z))",Blood,Adult,1.27,uM
HMDB0009841,PI(18:1(9Z)/20:1(11Z)),Blood,Adult,0.189,uM
HMDB0009842,"PI(18:1(9Z)/20:3(5Z,8Z,11Z))",Blood,Adult,11,uM
HMDB0009843,"PI(18:1(9Z)/20:3(8Z,11Z,14Z))",Blood,Adult,11,uM
HMDB0009844,"PI(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))",Blood,Adult,1.28,uM
HMDB0009845,"PI(18:1(9Z)/20:4(8Z,11Z,14Z,17Z))",Blood,Adult,1.28,uM
HMDB0009846,"PI(18:2(9Z,12Z)/16:0)",Blood,Adult,2.64,uM
HMDB0009847,"PI(18:2(9Z,12Z)/18:0)",Blood,Adult,4.29,uM
HMDB0009848,"PI(18:2(9Z,12Z)/18:1(11Z))",Blood,Adult,1.17,uM
HMDB0009849,"PI(18:2(9Z,12Z)/18:1(9Z))",Blood,Adult,1.17,uM
HMDB0009850,"PI(18:2(9Z,12Z)/18:2(9Z,12Z))",Blood,Adult,1.27,uM
HMDB0009851,"PI(18:2(9Z,12Z)/20:0)",Blood,Adult,0.189,uM
HMDB0009852,"PI(18:2(9Z,12Z)/20:1(11Z))",Blood,Adult,1.83,uM
HMDB0009853,"PI(18:2(9Z,12Z)/20:2(11Z,14Z))",Blood,Adult,11,uM
HMDB0009854,"PI(18:2(9Z,12Z)/20:3(5Z,8Z,11Z))",Blood,Adult,1.28,uM
HMDB0009855,"PI(18:2(9Z,12Z)/20:3(8Z,11Z,14Z))",Blood,Adult,1.28,uM
HMDB0009856,"PI(18:2(9Z,12Z)/22:2(13Z,16Z))",Blood,Adult,0.451,uM
HMDB0009857,"PI(18:2(9Z,12Z)/22:3(10Z,13Z,16Z))",Blood,Adult,0.475,uM
HMDB0009858,"PI(18:3(6Z,9Z,12Z)/18:0)",Blood,Adult,1.17,uM
HMDB0009859,"PI(18:3(6Z,9Z,12Z)/18:1(11Z))",Blood,Adult,1.27,uM
HMDB0009860,"PI(18:3(6Z,9Z,12Z)/18:1(9Z))",Blood,Adult,1.27,uM
HMDB0009861,"PI(18:3(6Z,9Z,12Z)/22:3(10Z,13Z,16Z))",Blood,Adult,0.54,uM
HMDB0009862,"PI(18:3(9Z,12Z,15Z)/18:0)",Blood,Adult,1.17,uM
HMDB0009863,"PI(18:3(9Z,12Z,15Z)/18:1(11Z))",Blood,Adult,1.27,uM
HMDB0009864,"PI(18:3(9Z,12Z,15Z)/18:1(9Z))",Blood,Adult,1.27,uM
HMDB0009865,"PI(18:3(9Z,12Z,15Z)/22:3(10Z,13Z,16Z))",Blood,Adult,0.54,uM
HMDB0009866,PI(20:0/16:0),Blood,Adult,0.269,uM
HMDB0009867,"PI(20:0/18:2(9Z,12Z))",Blood,Adult,0.189,uM
